Category: All categories,
,
Week,Applied behavior analysis: (Worldwide)
2018-07-29,56
2018-08-05,54
2018-08-12,52
2018-08-19,54
2018-08-26,60
2018-09-02,55
2018-09-09,61
2018-09-16,61
2018-09-23,70
2018-09-30,64
2018-10-07,61
2018-10-14,61
2018-10-21,63
2018-10-28,58
2018-11-04,63
2018-11-11,63
2018-11-18,51
2018-11-25,61
2018-12-02,62
2018-12-09,60
2018-12-16,53
2018-12-23,36
2018-12-30,49
2019-01-06,60
2019-01-13,65
2019-01-20,63
2019-01-27,65
2019-02-03,63
2019-02-10,62
2019-02-17,67
2019-02-24,66
2019-03-03,61
2019-03-10,63
2019-03-17,62
2019-03-24,66
2019-03-31,68
2019-04-07,65
2019-04-14,62
2019-04-21,62
2019-04-28,62
2019-05-05,63
2019-05-12,65
2019-05-19,62
2019-05-26,58
2019-06-02,59
2019-06-09,60
2019-06-16,64
2019-06-23,61
2019-06-30,50
2019-07-07,61
2019-07-14,60
2019-07-21,55
2019-07-28,57
2019-08-04,58
2019-08-11,62
2019-08-18,67
2019-08-25,65
2019-09-01,64
2019-09-08,68
2019-09-15,73
2019-09-22,71
2019-09-29,71
2019-10-06,68
2019-10-13,65
2019-10-20,71
2019-10-27,64
2019-11-03,69
2019-11-10,68
2019-11-17,69
2019-11-24,55
2019-12-01,64
2019-12-08,60
2019-12-15,60
2019-12-22,39
2019-12-29,48
2020-01-05,65
2020-01-12,72
2020-01-19,64
2020-01-26,67
2020-02-02,71
2020-02-09,71
2020-02-16,71
2020-02-23,69
2020-03-01,61
2020-03-08,67
2020-03-15,56
2020-03-22,53
2020-03-29,66
2020-04-05,54
2020-04-12,55
2020-04-19,54
2020-04-26,51
2020-05-03,66
2020-05-10,56
2020-05-17,64
2020-05-24,58
2020-05-31,63
2020-06-07,57
2020-06-14,64
2020-06-21,59
2020-06-28,57
2020-07-05,67
2020-07-12,62
2020-07-19,64
2020-07-26,64
2020-08-02,75
2020-08-09,63
2020-08-16,63
2020-08-23,75
2020-08-30,67
2020-09-06,64
2020-09-13,74
2020-09-20,70
2020-09-27,67
2020-10-04,64
2020-10-11,59
2020-10-18,65
2020-10-25,59
2020-11-01,55
2020-11-08,62
2020-11-15,60
2020-11-22,56
2020-11-29,60
2020-12-06,65
2020-12-13,57
2020-12-20,39
2020-12-27,45
2021-01-03,57
2021-01-10,61
2021-01-17,66
2021-01-24,69
2021-01-31,66
2021-02-07,64
2021-02-14,60
2021-02-21,68
2021-02-28,70
2021-03-07,59
2021-03-14,62
2021-03-21,65
2021-03-28,67
2021-04-04,65
2021-04-11,68
2021-04-18,78
2021-04-25,70
2021-05-02,69
2021-05-09,72
2021-05-16,49
2021-05-23,64
2021-05-30,62
2021-06-06,63
2021-06-13,65
2021-06-20,65
2021-06-27,66
2021-07-04,60
2021-07-11,71
2021-07-18,70
2021-07-25,61
2021-08-01,61
2021-08-08,65
2021-08-15,67
2021-08-22,72
2021-08-29,68
2021-09-05,72
2021-09-12,73
2021-09-19,82
2021-09-26,69
2021-10-03,69
2021-10-10,69
2021-10-17,72
2021-10-24,67
2021-10-31,67
2021-11-07,71
2021-11-14,71
2021-11-21,59
2021-11-28,70
2021-12-05,70
2021-12-12,64
2021-12-19,50
2021-12-26,50
2022-01-02,69
2022-01-09,77
2022-01-16,62
2022-01-23,77
2022-01-30,81
2022-02-06,78
2022-02-13,78
2022-02-20,77
2022-02-27,77
2022-03-06,76
2022-03-13,70
2022-03-20,81
2022-03-27,84
2022-04-03,89
2022-04-10,80
2022-04-17,82
2022-04-24,87
2022-05-01,77
2022-05-08,78
2022-05-15,76
2022-05-22,78
2022-05-29,69
2022-06-05,80
2022-06-12,73
2022-06-19,78
2022-06-26,73
2022-07-03,70
2022-07-10,81
2022-07-17,80
2022-07-24,77
2022-07-31,75
2022-08-07,75
2022-08-14,79
2022-08-21,82
2022-08-28,84
2022-09-04,82
2022-09-11,86
2022-09-18,88
2022-09-25,81
2022-10-02,83
2022-10-09,76
2022-10-16,86
2022-10-23,84
2022-10-30,79
2022-11-06,78
2022-11-13,86
2022-11-20,65
2022-11-27,75
2022-12-04,74
2022-12-11,76
2022-12-18,68
2022-12-25,68
2023-01-01,78
2023-01-08,88
2023-01-15,90
2023-01-22,91
2023-01-29,91
2023-02-05,88
2023-02-12,88
2023-02-19,85
2023-02-26,94
2023-03-05,93
2023-03-12,93
2023-03-19,100
2023-03-26,93
2023-04-02,90
2023-04-09,88
2023-04-16,97
2023-04-23,100
2023-04-30,98
2023-05-07,91
2023-05-14,89
2023-05-21,87
2023-05-28,84
2023-06-04,91
2023-06-11,99
2023-06-18,88
2023-06-25,84
2023-07-02,79
2023-07-09,86
2023-07-16,85
2023-07-23,81
