Category: All categories

Country,Applied behavior analysis: (7/28/18 - 7/28/23)
Uganda,100
Cambodia,63
Nigeria,32
Cayman Islands,
United States,26
Ethiopia,22
Rwanda,
Burundi,
Italy,13
Israel,12
Brazil,12
Iceland,
Canada,11
United Arab Emirates,10
St. Helena,
Cameroon,
Malta,
Romania,9
Albania,
Puerto Rico,
Mali,
Latvia,
Bahrain,
Ireland,8
Bahamas,
Jamaica,
Australia,8
Ghana,
Gabon,
Senegal,
Palestine,
Hong Kong,7
Angola,
Lebanon,
Cape Verde,
Mauritania,
China,
Oman,
Philippines,6
Trinidad & Tobago,
Singapore,6
Lithuania,
Côte d’Ivoire,
Slovakia,5
Kuwait,
Qatar,
Laos,
Kenya,5
Macao,
Botswana,
Kosovo,
Zambia,
Guyana,
Mozambique,
United Kingdom,4
Montenegro,
Jordan,
New Zealand,4
Nepal,
Moldova,
Zimbabwe,
Pakistan,4
Somalia,
Congo - Kinshasa,
Sri Lanka,
Cyprus,
Iraq,
South Korea,4
Georgia,
Haiti,
Morocco,3
Czechia,3
Dominican Republic,
Afghanistan,
Tanzania,
South Africa,3
Egypt,3
Portugal,3
Mongolia,
Réunion,
Malaysia,3
Saudi Arabia,3
Greece,3
Fiji,
Serbia,
North Macedonia,
Libya,
Netherlands,3
Switzerland,3
Norway,
Belgium,2
Sudan,
Taiwan,2
France,2
Panama,
Algeria,
Mauritius,
Bosnia & Herzegovina,
Sweden,2
Colombia,2
Denmark,
Armenia,
Nicaragua,
Luxembourg,
Croatia,
Azerbaijan,
Tunisia,
Slovenia,
India,2
Kyrgyzstan,
Bangladesh,
Namibia,
Venezuela,
Honduras,
Yemen,
Cuba,
Thailand,2
Estonia,
Costa Rica,
Indonesia,2
Bolivia,
Ecuador,
Vietnam,2
Kazakhstan,
Syria,
Chile,2
Türkiye,1
Peru,1
Austria,
Russia,1
Uruguay,
Finland,
Belarus,
Japan,1
El Salvador,
Paraguay,
Guatemala,
Spain,1
Mexico,1
Uzbekistan,
Bulgaria,
Argentina,1
Hungary,
Ukraine,1
Germany,1
Iran,1
Poland,1
Wallis & Futuna,
French Southern Territories,
Kiribati,
St. Pierre & Miquelon,
Tonga,
U.S. Virgin Islands,
Bermuda,
Guam,
American Samoa,
San Marino,
Turks & Caicos Islands,
Belize,
Northern Mariana Islands,
St. Kitts & Nevis,
St. Vincent & Grenadines,
Eswatini,
Dominica,
Guinea-Bissau,
Guernsey,
Curaçao,
Barbados,
Antigua & Barbuda,
Djibouti,
Maldives,
Jersey,
Grenada,
Chad,
Gibraltar,
Congo - Brazzaville,
Mayotte,
Sint Maarten,
Papua New Guinea,
Benin,
Togo,
Timor-Leste,
Gambia,
New Caledonia,
South Sudan,
Malawi,
French Polynesia,
Guinea,
Brunei,
Guadeloupe,
Niger,
British Virgin Islands,
Burkina Faso,
St. Lucia,
Suriname,
Faroe Islands,
Bhutan,
Madagascar,
Aruba,
Liechtenstein,
Lesotho,
Isle of Man,
Liberia,
St. Barthélemy,
Myanmar (Burma),
French Guiana,
Martinique,
Sierra Leone,
Turkmenistan,
Tajikistan,
Anguilla,
Åland Islands,
Andorra,
Antarctica,
Caribbean Netherlands,
Bouvet Island,
Central African Republic,
Cocos (Keeling) Islands,
Cook Islands,
Comoros,
Christmas Island,
Eritrea,
Western Sahara,
Falkland Islands (Islas Malvinas),
Micronesia,
Equatorial Guinea,
Greenland,
Heard & McDonald Islands,
British Indian Ocean Territory,
St. Martin,
Monaco,
Marshall Islands,
Montserrat,
Norfolk Island,
Niue,
Nauru,
Pitcairn Islands,
Palau,
North Korea,
South Georgia & South Sandwich Islands,
Svalbard & Jan Mayen,
Solomon Islands,
São Tomé & Príncipe,
Seychelles,
Tokelau,
Tuvalu,
U.S. Outlying Islands,
Vatican City,
Vanuatu,
Samoa,
