Category: All categories

Week,Applied behavior analysis: (United Kingdom)
2018-07-29,42
2018-08-05,39
2018-08-12,50
2018-08-19,36
2018-08-26,37
2018-09-02,54
2018-09-09,58
2018-09-16,38
2018-09-23,56
2018-09-30,60
2018-10-07,55
2018-10-14,56
2018-10-21,51
2018-10-28,53
2018-11-04,47
2018-11-11,65
2018-11-18,47
2018-11-25,58
2018-12-02,60
2018-12-09,42
2018-12-16,41
2018-12-23,31
2018-12-30,39
2019-01-06,59
2019-01-13,66
2019-01-20,44
2019-01-27,62
2019-02-03,36
2019-02-10,61
2019-02-17,58
2019-02-24,54
2019-03-03,56
2019-03-10,54
2019-03-17,77
2019-03-24,77
2019-03-31,59
2019-04-07,50
2019-04-14,46
2019-04-21,48
2019-04-28,50
2019-05-05,56
2019-05-12,54
2019-05-19,39
2019-05-26,44
2019-06-02,62
2019-06-09,51
2019-06-16,45
2019-06-23,45
2019-06-30,54
2019-07-07,42
2019-07-14,46
2019-07-21,35
2019-07-28,40
2019-08-04,37
2019-08-11,35
2019-08-18,51
2019-08-25,51
2019-09-01,52
2019-09-08,52
2019-09-15,58
2019-09-22,76
2019-09-29,63
2019-10-06,53
2019-10-13,53
2019-10-20,63
2019-10-27,51
2019-11-03,62
2019-11-10,66
2019-11-17,62
2019-11-24,52
2019-12-01,56
2019-12-08,63
2019-12-15,64
2019-12-22,49
2019-12-29,49
2020-01-05,78
2020-01-12,69
2020-01-19,65
2020-01-26,66
2020-02-02,69
2020-02-09,72
2020-02-16,61
2020-02-23,69
2020-03-01,65
2020-03-08,48
2020-03-15,49
2020-03-22,46
2020-03-29,64
2020-04-05,54
2020-04-12,41
2020-04-19,51
2020-04-26,55
2020-05-03,49
2020-05-10,71
2020-05-17,51
2020-05-24,75
2020-05-31,71
2020-06-07,62
2020-06-14,78
2020-06-21,63
2020-06-28,66
2020-07-05,57
2020-07-12,60
2020-07-19,78
2020-07-26,62
2020-08-02,54
2020-08-09,64
2020-08-16,53
2020-08-23,47
2020-08-30,67
2020-09-06,64
2020-09-13,84
2020-09-20,63
2020-09-27,73
2020-10-04,65
2020-10-11,59
2020-10-18,52
2020-10-25,55
2020-11-01,60
2020-11-08,70
2020-11-15,67
2020-11-22,57
2020-11-29,50
2020-12-06,63
2020-12-13,61
2020-12-20,58
2020-12-27,46
2021-01-03,60
2021-01-10,71
2021-01-17,55
2021-01-24,80
2021-01-31,47
2021-02-07,78
2021-02-14,62
2021-02-21,59
2021-02-28,68
2021-03-07,62
2021-03-14,57
2021-03-21,61
2021-03-28,44
2021-04-04,65
2021-04-11,53
2021-04-18,82
2021-04-25,65
2021-05-02,58
2021-05-09,84
2021-05-16,62
2021-05-23,56
2021-05-30,31
2021-06-06,56
2021-06-13,49
2021-06-20,50
2021-06-27,64
2021-07-04,53
2021-07-11,59
2021-07-18,45
2021-07-25,51
2021-08-01,40
2021-08-08,55
2021-08-15,41
2021-08-22,53
2021-08-29,52
2021-09-05,55
2021-09-12,55
2021-09-19,61
2021-09-26,65
2021-10-03,46
2021-10-10,54
2021-10-17,51
2021-10-24,58
2021-10-31,59
2021-11-07,51
2021-11-14,42
2021-11-21,58
2021-11-28,66
2021-12-05,56
2021-12-12,44
2021-12-19,38
2021-12-26,33
2022-01-02,65
2022-01-09,73
2022-01-16,69
2022-01-23,77
2022-01-30,74
2022-02-06,63
2022-02-13,73
2022-02-20,60
2022-02-27,64
2022-03-06,59
2022-03-13,65
2022-03-20,82
2022-03-27,68
2022-04-03,81
2022-04-10,60
2022-04-17,80
2022-04-24,69
2022-05-01,76
2022-05-08,73
2022-05-15,58
2022-05-22,67
2022-05-29,53
2022-06-05,60
2022-06-12,61
2022-06-19,65
2022-06-26,60
2022-07-03,68
2022-07-10,68
2022-07-17,55
2022-07-24,55
2022-07-31,41
2022-08-07,50
2022-08-14,56
2022-08-21,59
2022-08-28,54
2022-09-04,58
2022-09-11,68
2022-09-18,66
2022-09-25,62
2022-10-02,69
2022-10-09,81
2022-10-16,71
2022-10-23,64
2022-10-30,81
2022-11-06,73
2022-11-13,74
2022-11-20,72
2022-11-27,70
2022-12-04,52
2022-12-11,66
2022-12-18,39
2022-12-25,52
2023-01-01,60
2023-01-08,55
2023-01-15,70
2023-01-22,72
2023-01-29,77
2023-02-05,75
2023-02-12,69
2023-02-19,77
2023-02-26,88
2023-03-05,73
2023-03-12,85
2023-03-19,72
2023-03-26,100
2023-04-02,42
2023-04-09,47
2023-04-16,62
2023-04-23,66
2023-04-30,73
2023-05-07,82
2023-05-14,74
2023-05-21,59
2023-05-28,59
2023-06-04,78
2023-06-11,70
2023-06-18,68
2023-06-25,66
2023-07-02,70
2023-07-09,67
2023-07-16,52
2023-07-23,31
