Category: All categories
"Applied behavior analysis: (7/28/18 - 7/28/23, United Kingdom)"

TOP
Therapy,100
Behavior,97
Analysis,71
Autistic Spectrum Disorders,35
coach,18
Training,13
Course,10
Applied science,10
Master's Degree,8
Licensed behavior analyst,7
Psychology,7
Research,6
Behavior therapy,4
Professional certification,4
Educational assessment,4
ABBA,4
Speech,4
Autism,3
Certification,3
Therapist,3
PBS,2
harmful,1
Online degree,1
Autistic child,1
Technique,1

RISING
Applied science,Breakout
Autism,Breakout
Autistic child,Breakout
harmful,+950%
Technique,+850%
Therapist,+400%
Certification,+350%
Online degree,+300%
Stimulus,+200%
PBS,+200%
Graduate certificate,+200%
Stimming,+90%
Therapy,+70%
Professional certification,+50%
Educational assessment,+50%
ABBA,+50%

