Category: All categories

Country,aba therapy: (8/1/18 - 8/1/23)
United States,100
St. Helena,
United Arab Emirates,37
Canada,35
Laos,
Lebanon,
Australia,27
Singapore,22
Iraq,21
Ireland,20
Ethiopia,
Philippines,18
Hong Kong,16
Pakistan,14
South Korea,14
United Kingdom,13
Malaysia,13
New Zealand,12
Cambodia,
Bangladesh,9
Vietnam,9
Egypt,8
South Africa,7
Dominican Republic,
Romania,6
India,5
Taiwan,5
Thailand,4
Morocco,
Israel,
Saudi Arabia,4
Russia,4
Nigeria,
Sweden,
Indonesia,3
Ukraine,2
Algeria,
Netherlands,2
Ecuador,
Argentina,2
Venezuela,
Peru,
Brazil,2
Mexico,2
Colombia,
Spain,1
Italy,1
Germany,1
Chile,
Poland,
Iran,
France,1
Türkiye,
Japan,
Tokelau,
Nauru,
Micronesia,
Palau,
St. Martin,
Northern Mariana Islands,
St. Kitts & Nevis,
U.S. Virgin Islands,
Caribbean Netherlands,
Central African Republic,
Mayotte,
San Marino,
Timor-Leste,
Cayman Islands,
Antigua & Barbuda,
Cape Verde,
Curaçao,
Turks & Caicos Islands,
Guam,
Bahrain,
Guernsey,
Gibraltar,
Aruba,
Albania,
Malta,
Kosovo,
Barbados,
Bahamas,
Maldives,
South Sudan,
Isle of Man,
Gambia,
Suriname,
Papua New Guinea,
Niger,
St. Lucia,
Fiji,
Trinidad & Tobago,
Jamaica,
Puerto Rico,
Brunei,
Liberia,
Palestine,
New Caledonia,
Botswana,
Qatar,
Bhutan,
Belize,
Zimbabwe,
Iceland,
Georgia,
Jersey,
Armenia,
Mongolia,
Oman,
Togo,
Kuwait,
Mauritania,
Macao,
Kenya,
Cyprus,
Gabon,
Afghanistan,
Malawi,
Senegal,
Rwanda,
Jordan,
North Macedonia,
Libya,
Nepal,
Haiti,
Myanmar (Burma),
Moldova,
Ghana,
Sudan,
Montenegro,
Yemen,
China,
Angola,
Sri Lanka,
Luxembourg,
Zambia,
Latvia,
Azerbaijan,
Tajikistan,
Serbia,
Lithuania,
Uganda,
Syria,
Tunisia,
Norway,
Bulgaria,
Portugal,
Mozambique,
Slovakia,
Bolivia,
Uruguay,
Costa Rica,
Switzerland,
El Salvador,
Estonia,
Czechia,
Tanzania,
Côte d’Ivoire,
Kazakhstan,
Belarus,
Croatia,
Panama,
Bosnia & Herzegovina,
Mauritius,
Kyrgyzstan,
Hungary,
Honduras,
Greece,
Austria,
Denmark,
Belgium,
Slovenia,
Guatemala,
Finland,
Uzbekistan,
Paraguay,
Anguilla,
Åland Islands,
Andorra,
American Samoa,
Antarctica,
French Southern Territories,
Burundi,
Benin,
Burkina Faso,
St. Barthélemy,
Bermuda,
Bouvet Island,
Cocos (Keeling) Islands,
Cameroon,
Congo - Kinshasa,
Congo - Brazzaville,
Cook Islands,
Comoros,
Cuba,
Christmas Island,
Djibouti,
Dominica,
Eritrea,
Western Sahara,
Falkland Islands (Islas Malvinas),
Faroe Islands,
Guinea,
Guadeloupe,
Guinea-Bissau,
Equatorial Guinea,
Grenada,
Greenland,
French Guiana,
Guyana,
Heard & McDonald Islands,
British Indian Ocean Territory,
Kiribati,
Liechtenstein,
Lesotho,
Monaco,
Madagascar,
Marshall Islands,
Mali,
Montserrat,
Martinique,
Namibia,
Norfolk Island,
Nicaragua,
Niue,
Pitcairn Islands,
North Korea,
French Polynesia,
Réunion,
South Georgia & South Sandwich Islands,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
Somalia,
St. Pierre & Miquelon,
São Tomé & Príncipe,
Eswatini,
Sint Maarten,
Seychelles,
Chad,
Turkmenistan,
Tonga,
Tuvalu,
U.S. Outlying Islands,
Vatican City,
St. Vincent & Grenadines,
British Virgin Islands,
Vanuatu,
Wallis & Futuna,
Samoa,
