Category: All categories
"aba therapy: (8/1/18 - 8/1/23, Worldwide)"

TOP
Therapy,100
Applied behavior analysis,97
Autistic Spectrum Disorders,9
Behavior,6
Texas,3
Behavior therapy,2
Speech,2
Occupational Therapy,1
Speech–language pathology,1
Training,1
New Jersey,1
Medicaid,1
Analysis,1
Autism,1
Certification,1
Licensed behavior analyst,1
Therapist,1
harmful,<1
Autistic child,<1
Controversy,<1
Abuse,<1
Conversion therapy,<1
Applied science,<1
BACB - Behavior Analyst Certification Board,<1
Chicago ABA Therapy,<1

RISING
Cigna,Breakout
Autism Speaks,Breakout
Autism,Breakout
Autistic child,"+1,000%"
harmful,+750%
Conversion therapy,+500%
Applied science,+500%
Telemedicine,+400%
BACB - Behavior Analyst Certification Board,+160%
Acceptance,+150%
Controversy,+130%
Chicago ABA Therapy,+120%
Therapist,+110%
Acceptance and commitment therapy,+80%
Abuse,+70%

