Category: All categories

Country,Applied behavior analysis: (8/1/18 - 8/1/23)
Uganda,100
Cambodia,63
Nigeria,33
Cayman Islands,
United States,25
Ethiopia,22
Burundi,
Rwanda,
Italy,12
Israel,12
Brazil,11
Iceland,
Canada,11
Malta,
United Arab Emirates,10
St. Helena,
Cameroon,
Mali,
Romania,9
Albania,
Puerto Rico,
Bahrain,
Cape Verde,
Ireland,8
Latvia,
Jamaica,
Australia,7
Gabon,
Ghana,
Palestine,
Bahamas,
Hong Kong,7
Angola,
Senegal,
Lebanon,
China,
Oman,
Philippines,6
Trinidad & Tobago,
Lithuania,
Singapore,6
Guyana,
Côte d’Ivoire,
Qatar,
Slovakia,5
Mozambique,
Macao,
Botswana,
Mauritania,
Kenya,5
Kuwait,
Zambia,
Kosovo,
New Zealand,4
United Kingdom,4
Moldova,
Laos,
Montenegro,
Jordan,
Fiji,
Nepal,
Pakistan,4
Somalia,
Sri Lanka,
Zimbabwe,
Cyprus,
Congo - Kinshasa,
Iraq,
South Korea,4
Georgia,
Haiti,
Morocco,3
Czechia,3
Afghanistan,
Dominican Republic,
Réunion,
Egypt,3
Portugal,3
Serbia,
South Africa,3
Malaysia,3
Tanzania,
Greece,3
Saudi Arabia,3
North Macedonia,
Netherlands,3
Libya,
Switzerland,3
Mongolia,
Norway,
Sudan,
France,2
Belgium,2
Taiwan,2
Bosnia & Herzegovina,
Luxembourg,
Armenia,
Panama,
Algeria,
Sweden,2
Colombia,2
Mauritius,
Nicaragua,
Croatia,
Denmark,
Kyrgyzstan,
Bangladesh,
India,2
Azerbaijan,
Slovenia,
Estonia,
Tunisia,
Honduras,
Venezuela,
Vietnam,2
Cuba,
Thailand,2
Indonesia,2
Costa Rica,
Ecuador,
Yemen,
Syria,
Namibia,
Bolivia,
Kazakhstan,
Chile,2
Peru,1
Türkiye,1
Russia,1
Uruguay,
Austria,
El Salvador,
Mexico,1
Finland,
Belarus,
Japan,1
Paraguay,
Spain,1
Guatemala,
Bulgaria,
Argentina,1
Hungary,
Uzbekistan,
Ukraine,1
Germany,1
Iran,1
Poland,1
Christmas Island,
Kiribati,
Falkland Islands (Islas Malvinas),
Anguilla,
U.S. Virgin Islands,
Micronesia,
Guam,
Vanuatu,
Solomon Islands,
American Samoa,
San Marino,
Bermuda,
Palau,
Dominica,
Northern Mariana Islands,
Turks & Caicos Islands,
Chad,
Equatorial Guinea,
Belize,
Aruba,
Curaçao,
South Sudan,
Sint Maarten,
Grenada,
Papua New Guinea,
Jersey,
Maldives,
Barbados,
Brunei,
Eswatini,
St. Barthélemy,
St. Vincent & Grenadines,
Lesotho,
Gambia,
Antigua & Barbuda,
Guernsey,
Malawi,
Djibouti,
Benin,
Burkina Faso,
Niger,
Liberia,
Congo - Brazzaville,
Liechtenstein,
New Caledonia,
Guinea,
Madagascar,
Togo,
Suriname,
Bhutan,
Guadeloupe,
Gibraltar,
Martinique,
Myanmar (Burma),
French Polynesia,
Turkmenistan,
French Guiana,
Isle of Man,
Sierra Leone,
Tajikistan,
Åland Islands,
Andorra,
Antarctica,
French Southern Territories,
Caribbean Netherlands,
Bouvet Island,
Central African Republic,
Cocos (Keeling) Islands,
Cook Islands,
Comoros,
Eritrea,
Western Sahara,
Faroe Islands,
Guinea-Bissau,
Greenland,
Heard & McDonald Islands,
British Indian Ocean Territory,
St. Kitts & Nevis,
St. Lucia,
St. Martin,
Monaco,
Marshall Islands,
Montserrat,
Mayotte,
Norfolk Island,
Niue,
Nauru,
Pitcairn Islands,
North Korea,
South Georgia & South Sandwich Islands,
Svalbard & Jan Mayen,
St. Pierre & Miquelon,
São Tomé & Príncipe,
Seychelles,
Tokelau,
Timor-Leste,
Tonga,
Tuvalu,
U.S. Outlying Islands,
Vatican City,
British Virgin Islands,
Wallis & Futuna,
Samoa,
