Category: All categories
"Applied behavior analysis: (8/1/18 - 8/1/23, Worldwide)"

TOP
Therapy,100
Behavior,90
Analysis,55
Autistic Spectrum Disorders,24
Licensed behavior analyst,10
Master's Degree,10
Training,9
Course,9
Psychology,9
Applied science,6
Reinforcement,6
Certification,5
Behavior therapy,5
Methodology,5
Educational assessment,4
Professional certification,4
Skill,4
Autism,4
Therapist,4
Behavioral analytics,3
Stimulus,3
Quizlet,2
Undergraduate education,1
Postgraduate education,1
Extinction,1

RISING
Autism,Breakout
Functional behavior assessment,Breakout
Applied science,"+2,400%"
Postgraduate education,+200%
Continuous function,+180%
Undergraduate education,+170%
Therapist,+160%
Extinction,+140%
Stimulus control,+140%
Preference,+130%
Behavioral analytics,+130%
Stimulus,+130%
Quizlet,+120%
Reinforcement,+90%
Educational assessment,+60%
Skill,+60%
Therapy,+50%

