Category: All categories

Week,Applied behavior analysis: (United Kingdom)
2018-08-05,37
2018-08-12,44
2018-08-19,40
2018-08-26,28
2018-09-02,50
2018-09-09,52
2018-09-16,29
2018-09-23,46
2018-09-30,59
2018-10-07,60
2018-10-14,54
2018-10-21,52
2018-10-28,52
2018-11-04,58
2018-11-11,59
2018-11-18,42
2018-11-25,57
2018-12-02,53
2018-12-09,50
2018-12-16,41
2018-12-23,27
2018-12-30,45
2019-01-06,63
2019-01-13,62
2019-01-20,43
2019-01-27,57
2019-02-03,40
2019-02-10,65
2019-02-17,58
2019-02-24,56
2019-03-03,59
2019-03-10,71
2019-03-17,73
2019-03-24,73
2019-03-31,59
2019-04-07,51
2019-04-14,44
2019-04-21,50
2019-04-28,42
2019-05-05,53
2019-05-12,45
2019-05-19,40
2019-05-26,46
2019-06-02,65
2019-06-09,48
2019-06-16,49
2019-06-23,48
2019-06-30,53
2019-07-07,40
2019-07-14,53
2019-07-21,37
2019-07-28,38
2019-08-04,40
2019-08-11,35
2019-08-18,55
2019-08-25,42
2019-09-01,52
2019-09-08,53
2019-09-15,63
2019-09-22,56
2019-09-29,52
2019-10-06,40
2019-10-13,51
2019-10-20,57
2019-10-27,49
2019-11-03,65
2019-11-10,67
2019-11-17,59
2019-11-24,58
2019-12-01,58
2019-12-08,60
2019-12-15,58
2019-12-22,49
2019-12-29,53
2020-01-05,83
2020-01-12,64
2020-01-19,62
2020-01-26,62
2020-02-02,76
2020-02-09,69
2020-02-16,62
2020-02-23,66
2020-03-01,64
2020-03-08,45
2020-03-15,49
2020-03-22,47
2020-03-29,58
2020-04-05,55
2020-04-12,40
2020-04-19,54
2020-04-26,54
2020-05-03,55
2020-05-10,66
2020-05-17,48
2020-05-24,73
2020-05-31,71
2020-06-07,60
2020-06-14,71
2020-06-21,61
2020-06-28,66
2020-07-05,58
2020-07-12,61
2020-07-19,80
2020-07-26,60
2020-08-02,49
2020-08-09,61
2020-08-16,52
2020-08-23,49
2020-08-30,67
2020-09-06,58
2020-09-13,84
2020-09-20,67
2020-09-27,73
2020-10-04,58
2020-10-11,56
2020-10-18,58
2020-10-25,57
2020-11-01,59
2020-11-08,54
2020-11-15,66
2020-11-22,61
2020-11-29,49
2020-12-06,64
2020-12-13,63
2020-12-20,57
2020-12-27,49
2021-01-03,63
2021-01-10,66
2021-01-17,59
2021-01-24,75
2021-01-31,48
2021-02-07,77
2021-02-14,61
2021-02-21,60
2021-02-28,68
2021-03-07,69
2021-03-14,59
2021-03-21,52
2021-03-28,56
2021-04-04,60
2021-04-11,51
2021-04-18,85
2021-04-25,67
2021-05-02,49
2021-05-09,83
2021-05-16,62
2021-05-23,54
2021-05-30,48
2021-06-06,51
2021-06-13,50
2021-06-20,52
2021-06-27,56
2021-07-04,55
2021-07-11,56
2021-07-18,39
2021-07-25,53
2021-08-01,50
2021-08-08,49
2021-08-15,41
2021-08-22,53
2021-08-29,46
2021-09-05,53
2021-09-12,58
2021-09-19,59
2021-09-26,58
2021-10-03,57
2021-10-10,52
2021-10-17,47
2021-10-24,55
2021-10-31,51
2021-11-07,46
2021-11-14,51
2021-11-21,55
2021-11-28,66
2021-12-05,49
2021-12-12,30
2021-12-19,37
2021-12-26,33
2022-01-02,65
2022-01-09,71
2022-01-16,71
2022-01-23,74
2022-01-30,72
2022-02-06,61
2022-02-13,59
2022-02-20,51
2022-02-27,67
2022-03-06,65
2022-03-13,67
2022-03-20,79
2022-03-27,64
2022-04-03,80
2022-04-10,61
2022-04-17,77
2022-04-24,68
2022-05-01,78
2022-05-08,75
2022-05-15,53
2022-05-22,70
2022-05-29,48
2022-06-05,60
2022-06-12,52
2022-06-19,62
2022-06-26,60
2022-07-03,67
2022-07-10,62
2022-07-17,50
2022-07-24,54
2022-07-31,42
2022-08-07,51
2022-08-14,43
2022-08-21,64
2022-08-28,66
2022-09-04,52
2022-09-11,71
2022-09-18,65
2022-09-25,60
2022-10-02,65
2022-10-09,81
2022-10-16,73
2022-10-23,69
2022-10-30,83
2022-11-06,64
2022-11-13,71
2022-11-20,65
2022-11-27,69
2022-12-04,67
2022-12-11,65
2022-12-18,43
2022-12-25,56
2023-01-01,67
2023-01-08,68
2023-01-15,64
2023-01-22,83
2023-01-29,76
2023-02-05,74
2023-02-12,67
2023-02-19,81
2023-02-26,81
2023-03-05,73
2023-03-12,75
2023-03-19,71
2023-03-26,100
2023-04-02,40
2023-04-09,60
2023-04-16,61
2023-04-23,69
2023-04-30,69
2023-05-07,87
2023-05-14,74
2023-05-21,71
2023-05-28,55
2023-06-04,74
2023-06-11,64
2023-06-18,68
2023-06-25,47
2023-07-02,64
2023-07-09,67
2023-07-16,44
2023-07-23,52
