Category: All categories

Week,Autistic Spectrum Disorders: (Worldwide)
2018-08-05,16
2018-08-12,17
2018-08-19,18
2018-08-26,18
2018-09-02,18
2018-09-09,20
2018-09-16,22
2018-09-23,20
2018-09-30,19
2018-10-07,19
2018-10-14,20
2018-10-21,19
2018-10-28,19
2018-11-04,18
2018-11-11,20
2018-11-18,21
2018-11-25,21
2018-12-02,20
2018-12-09,19
2018-12-16,16
2018-12-23,14
2018-12-30,16
2019-01-06,18
2019-01-13,18
2019-01-20,19
2019-01-27,22
2019-02-03,23
2019-02-10,22
2019-02-17,23
2019-02-24,24
2019-03-03,23
2019-03-10,24
2019-03-17,28
2019-03-24,28
2019-03-31,47
2019-04-07,26
2019-04-14,22
2019-04-21,23
2019-04-28,23
2019-05-05,21
2019-05-12,21
2019-05-19,21
2019-05-26,21
2019-06-02,22
2019-06-09,21
2019-06-16,20
2019-06-23,19
2019-06-30,17
2019-07-07,19
2019-07-14,19
2019-07-21,18
2019-07-28,19
2019-08-04,18
2019-08-11,20
2019-08-18,20
2019-08-25,21
2019-09-01,20
2019-09-08,21
2019-09-15,22
2019-09-22,25
2019-09-29,21
2019-10-06,21
2019-10-13,22
2019-10-20,21
2019-10-27,21
2019-11-03,24
2019-11-10,23
2019-11-17,22
2019-11-24,21
2019-12-01,23
2019-12-08,21
2019-12-15,19
2019-12-22,17
2019-12-29,18
2020-01-05,19
2020-01-12,21
2020-01-19,21
2020-01-26,21
2020-02-02,20
2020-02-09,21
2020-02-16,22
2020-02-23,20
2020-03-01,21
2020-03-08,19
2020-03-15,16
2020-03-22,17
2020-03-29,34
2020-04-05,18
2020-04-12,18
2020-04-19,19
2020-04-26,19
2020-05-03,19
2020-05-10,18
2020-05-17,18
2020-05-24,20
2020-05-31,20
2020-06-07,19
2020-06-14,19
2020-06-21,20
2020-06-28,19
2020-07-05,17
2020-07-12,18
2020-07-19,19
2020-07-26,19
2020-08-02,19
2020-08-09,19
2020-08-16,19
2020-08-23,19
2020-08-30,18
2020-09-06,19
2020-09-13,19
2020-09-20,20
2020-09-27,17
2020-10-04,19
2020-10-11,18
2020-10-18,19
2020-10-25,18
2020-11-01,16
2020-11-08,18
2020-11-15,19
2020-11-22,18
2020-11-29,18
2020-12-06,19
2020-12-13,17
2020-12-20,15
2020-12-27,16
2021-01-03,19
2021-01-10,17
2021-01-17,19
2021-01-24,20
2021-01-31,19
2021-02-07,20
2021-02-14,19
2021-02-21,21
2021-02-28,21
2021-03-07,19
2021-03-14,21
2021-03-21,23
2021-03-28,35
2021-04-04,25
2021-04-11,24
2021-04-18,23
2021-04-25,23
2021-05-02,21
2021-05-09,24
2021-05-16,21
2021-05-23,22
2021-05-30,22
2021-06-06,21
2021-06-13,21
2021-06-20,21
2021-06-27,20
2021-07-04,20
2021-07-11,23
2021-07-18,21
2021-07-25,23
2021-08-01,21
2021-08-08,21
2021-08-15,21
2021-08-22,21
2021-08-29,22
2021-09-05,21
2021-09-12,23
2021-09-19,22
2021-09-26,23
2021-10-03,24
2021-10-10,25
2021-10-17,24
2021-10-24,23
2021-10-31,27
2021-11-07,25
2021-11-14,27
2021-11-21,24
2021-11-28,27
2021-12-05,26
2021-12-12,23
2021-12-19,22
2021-12-26,23
2022-01-02,42
2022-01-09,41
2022-01-16,42
2022-01-23,44
2022-01-30,47
2022-02-06,49
2022-02-13,49
2022-02-20,47
2022-02-27,51
2022-03-06,49
2022-03-13,56
2022-03-20,58
2022-03-27,87
2022-04-03,77
2022-04-10,58
2022-04-17,57
2022-04-24,59
2022-05-01,54
2022-05-08,55
2022-05-15,53
2022-05-22,54
2022-05-29,52
2022-06-05,53
2022-06-12,50
2022-06-19,54
2022-06-26,50
2022-07-03,48
2022-07-10,52
2022-07-17,54
2022-07-24,55
2022-07-31,55
2022-08-07,54
2022-08-14,56
2022-08-21,57
2022-08-28,54
2022-09-04,56
2022-09-11,54
2022-09-18,57
2022-09-25,54
2022-10-02,52
2022-10-09,55
2022-10-16,53
2022-10-23,56
2022-10-30,55
2022-11-06,54
2022-11-13,55
2022-11-20,51
2022-11-27,56
2022-12-04,56
2022-12-11,55
2022-12-18,57
2022-12-25,56
2023-01-01,58
2023-01-08,58
2023-01-15,56
2023-01-22,59
2023-01-29,61
2023-02-05,60
2023-02-12,63
2023-02-19,62
2023-02-26,62
2023-03-05,61
2023-03-12,64
2023-03-19,71
2023-03-26,86
2023-04-02,100
2023-04-09,69
2023-04-16,73
2023-04-23,71
2023-04-30,64
2023-05-07,65
2023-05-14,64
2023-05-21,63
2023-05-28,62
2023-06-04,59
2023-06-11,62
2023-06-18,63
2023-06-25,60
2023-07-02,60
2023-07-09,59
2023-07-16,57
2023-07-23,60
