Category: All categories
"Autistic Spectrum Disorders: (8/1/18 - 8/1/23, Worldwide)"

TOP
Autism,100
Child,97
Spectrum,48
Symptom,36
Disease,34
Adult,34
Attention deficit hyperactivity disorder,32
Exam,31
Medical diagnosis,24
Therapy,23
Asperger syndrome,20
Disability,20
Sign,15
Syndrome,15
Behavior,10
Medical sign,10
Signs and symptoms,10
Mental disorder,9
Toddler,9
People,9
Cause,9
World Autism Awareness Day,8
childhood,8
Classic autism,6
Autistic child,6

RISING
Autism,Breakout
childhood,Breakout
Signs and symptoms,Breakout
Autistic child,Breakout
People,Breakout
Sign,"+2,200%"
Classic autism,"+1,250%"
Neurodiversity,+900%
TYLENOL®,+750%
Sense,+650%
The Good Doctor,+600%
Symptom,+160%
Attention deficit hyperactivity disorder,+90%
Adult,+90%
Toddler,+60%
Disability,+60%
Medical diagnosis,+60%
Exam,+40%

