Category: All categories

Week,Autistic Spectrum Disorders: (United Kingdom)
2018-08-05,17
2018-08-12,15
2018-08-19,16
2018-08-26,15
2018-09-02,18
2018-09-09,21
2018-09-16,21
2018-09-23,21
2018-09-30,21
2018-10-07,23
2018-10-14,22
2018-10-21,20
2018-10-28,19
2018-11-04,21
2018-11-11,22
2018-11-18,40
2018-11-25,26
2018-12-02,24
2018-12-09,22
2018-12-16,19
2018-12-23,14
2018-12-30,16
2019-01-06,20
2019-01-13,20
2019-01-20,22
2019-01-27,21
2019-02-03,22
2019-02-10,21
2019-02-17,20
2019-02-24,21
2019-03-03,23
2019-03-10,21
2019-03-17,23
2019-03-24,23
2019-03-31,28
2019-04-07,20
2019-04-14,19
2019-04-21,22
2019-04-28,21
2019-05-05,21
2019-05-12,21
2019-05-19,20
2019-05-26,19
2019-06-02,19
2019-06-09,23
2019-06-16,22
2019-06-23,20
2019-06-30,19
2019-07-07,21
2019-07-14,19
2019-07-21,16
2019-07-28,17
2019-08-04,16
2019-08-11,19
2019-08-18,19
2019-08-25,18
2019-09-01,19
2019-09-08,21
2019-09-15,22
2019-09-22,22
2019-09-29,22
2019-10-06,22
2019-10-13,23
2019-10-20,20
2019-10-27,19
2019-11-03,24
2019-11-10,24
2019-11-17,22
2019-11-24,21
2019-12-01,19
2019-12-08,21
2019-12-15,20
2019-12-22,14
2019-12-29,17
2020-01-05,21
2020-01-12,23
2020-01-19,24
2020-01-26,23
2020-02-02,23
2020-02-09,22
2020-02-16,21
2020-02-23,22
2020-03-01,21
2020-03-08,20
2020-03-15,14
2020-03-22,14
2020-03-29,17
2020-04-05,15
2020-04-12,18
2020-04-19,19
2020-04-26,20
2020-05-03,19
2020-05-10,18
2020-05-17,19
2020-05-24,18
2020-05-31,19
2020-06-07,18
2020-06-14,18
2020-06-21,18
2020-06-28,18
2020-07-05,16
2020-07-12,20
2020-07-19,18
2020-07-26,17
2020-08-02,17
2020-08-09,18
2020-08-16,18
2020-08-23,17
2020-08-30,19
2020-09-06,20
2020-09-13,20
2020-09-20,20
2020-09-27,19
2020-10-04,22
2020-10-11,21
2020-10-18,20
2020-10-25,18
2020-11-01,18
2020-11-08,21
2020-11-15,21
2020-11-22,20
2020-11-29,19
2020-12-06,19
2020-12-13,19
2020-12-20,14
2020-12-27,16
2021-01-03,19
2021-01-10,20
2021-01-17,21
2021-01-24,22
2021-01-31,21
2021-02-07,22
2021-02-14,21
2021-02-21,22
2021-02-28,22
2021-03-07,23
2021-03-14,25
2021-03-21,25
2021-03-28,28
2021-04-04,22
2021-04-11,23
2021-04-18,26
2021-04-25,25
2021-05-02,23
2021-05-09,27
2021-05-16,25
2021-05-23,24
2021-05-30,22
2021-06-06,23
2021-06-13,26
2021-06-20,23
2021-06-27,23
2021-07-04,23
2021-07-11,22
2021-07-18,23
2021-07-25,24
2021-08-01,21
2021-08-08,22
2021-08-15,22
2021-08-22,23
2021-08-29,21
2021-09-05,24
2021-09-12,25
2021-09-19,26
2021-09-26,27
2021-10-03,29
2021-10-10,29
2021-10-17,27
2021-10-24,24
2021-10-31,30
2021-11-07,31
2021-11-14,38
2021-11-21,35
2021-11-28,45
2021-12-05,40
2021-12-12,33
2021-12-19,26
2021-12-26,29
2022-01-02,53
2022-01-09,59
2022-01-16,56
2022-01-23,57
2022-01-30,61
2022-02-06,61
2022-02-13,58
2022-02-20,60
2022-02-27,59
2022-03-06,69
2022-03-13,64
2022-03-20,64
2022-03-27,77
2022-04-03,66
2022-04-10,59
2022-04-17,61
2022-04-24,66
2022-05-01,62
2022-05-08,68
2022-05-15,64
2022-05-22,67
2022-05-29,51
2022-06-05,62
2022-06-12,63
2022-06-19,60
2022-06-26,59
2022-07-03,56
2022-07-10,63
2022-07-17,58
2022-07-24,55
2022-07-31,54
2022-08-07,51
2022-08-14,60
2022-08-21,56
2022-08-28,53
2022-09-04,55
2022-09-11,61
2022-09-18,59
2022-09-25,62
2022-10-02,64
2022-10-09,65
2022-10-16,66
2022-10-23,60
2022-10-30,69
2022-11-06,70
2022-11-13,73
2022-11-20,62
2022-11-27,65
2022-12-04,63
2022-12-11,61
2022-12-18,62
2022-12-25,56
2023-01-01,70
2023-01-08,76
2023-01-15,79
2023-01-22,76
2023-01-29,78
2023-02-05,76
2023-02-12,86
2023-02-19,91
2023-02-26,85
2023-03-05,74
2023-03-12,100
2023-03-19,92
2023-03-26,97
2023-04-02,93
2023-04-09,79
2023-04-16,91
2023-04-23,82
2023-04-30,75
2023-05-07,83
2023-05-14,79
2023-05-21,74
2023-05-28,65
2023-06-04,74
2023-06-11,74
2023-06-18,77
2023-06-25,77
2023-07-02,77
2023-07-09,71
2023-07-16,71
2023-07-23,63
