Category: All categories
"Autistic Spectrum Disorders: (8/1/18 - 8/1/23, United Kingdom)"

TOP
Autism,100
Exam,87
Adult,65
Attention deficit hyperactivity disorder,59
Spectrum,40
Medical diagnosis,40
Disease,37
Symptom,30
Sign,25
Asperger syndrome,24
Disability,23
Educational assessment,22
People,20
Signs and symptoms,18
Autistic child,14
Toddler,14
Behavior,12
Attention deficit hyperactivity disorder predominantly inattentive,12
Syndrome,11
Anxiety,11
Learning disability,10
Sense,9
Learning,9
Education,4
Son,4

RISING
Autism,Breakout
Signs and symptoms,Breakout
Autistic child,Breakout
Education,Breakout
Son,Breakout
private,Breakout
People,Breakout
National Autistic Society,Breakout
Sign,"+4,600%"
Learning,"+3,550%"
Masking,"+1,300%"
Sense,+950%
Nonverbal autism,+550%
Neurodiversity,+550%
Autism-friendly,+250%
Symptom,+120%
Attention deficit hyperactivity disorder,+80%
Educational assessment,+70%
Toddler,+60%
Attention deficit hyperactivity disorder predominantly inattentive,+50%
Adult,+40%

