Category: All categories

Country,Autistic Spectrum Disorder: (8/1/18 - 8/1/23)
Ireland,100
New Zealand,73
United Kingdom,68
Hong Kong,62
Australia,55
Philippines,44
South Africa,38
Canada,38
Malaysia,36
Nigeria,23
United States,22
India,12
Indonesia,6
Nauru,
Tonga,
St. Kitts & Nevis,
Greenland,
Caribbean Netherlands,
Åland Islands,
Northern Mariana Islands,
Guernsey,
Isle of Man,
Gibraltar,
St. Vincent & Grenadines,
Gambia,
Macao,
Andorra,
Lesotho,
Brunei,
Rwanda,
Malta,
Trinidad & Tobago,
Burkina Faso,
Togo,
Mauritius,
Ethiopia,
Libya,
Zambia,
Bahrain,
Namibia,
Kenya,
Singapore,
Jamaica,
Réunion,
Qatar,
Lebanon,
Mali,
Tajikistan,
United Arab Emirates,
Zimbabwe,
Sri Lanka,
Albania,
Palestine,
Georgia,
China,
Israel,
Bosnia & Herzegovina,
Pakistan,
Panama,
Côte d’Ivoire,
Uruguay,
Luxembourg,
Moldova,
Cameroon,
Oman,
Cambodia,
Sudan,
Estonia,
Myanmar (Burma),
Thailand,
Iraq,
North Macedonia,
Egypt,
Ghana,
Kuwait,
Greece,
Cyprus,
Saudi Arabia,
Uganda,
Croatia,
Bangladesh,
Latvia,
South Korea,
Lithuania,
Jordan,
Slovakia,
Denmark,
Switzerland,
Taiwan,
Belgium,
Sweden,
Hungary,
Vietnam,
Norway,
Chile,
Czechia,
Spain,
Portugal,
Netherlands,
Peru,
Morocco,
Algeria,
Italy,
Ukraine,
Iran,
Romania,
Poland,
Germany,
Brazil,
Austria,
Russia,
France,
Türkiye,
Japan,
Argentina,
Colombia,
Mexico,
Aruba,
Afghanistan,
Angola,
Anguilla,
Armenia,
American Samoa,
Antarctica,
French Southern Territories,
Antigua & Barbuda,
Azerbaijan,
Burundi,
Benin,
Bulgaria,
Bahamas,
St. Barthélemy,
Belarus,
Belize,
Bermuda,
Bolivia,
Barbados,
Bhutan,
Bouvet Island,
Botswana,
Central African Republic,
Cocos (Keeling) Islands,
Congo - Kinshasa,
Congo - Brazzaville,
Cook Islands,
Comoros,
Cape Verde,
Costa Rica,
Cuba,
Curaçao,
Christmas Island,
Cayman Islands,
Djibouti,
Dominica,
Dominican Republic,
Ecuador,
Eritrea,
Western Sahara,
Finland,
Fiji,
Falkland Islands (Islas Malvinas),
Faroe Islands,
Micronesia,
Gabon,
Guinea,
Guadeloupe,
Guinea-Bissau,
Equatorial Guinea,
Grenada,
Guatemala,
French Guiana,
Guam,
Guyana,
Heard & McDonald Islands,
Honduras,
Haiti,
British Indian Ocean Territory,
Iceland,
Jersey,
Kazakhstan,
Kyrgyzstan,
Kiribati,
Laos,
Liberia,
St. Lucia,
Liechtenstein,
St. Martin,
Monaco,
Madagascar,
Maldives,
Marshall Islands,
Montenegro,
Mongolia,
Mozambique,
Mauritania,
Montserrat,
Martinique,
Malawi,
Mayotte,
New Caledonia,
Niger,
Norfolk Island,
Nicaragua,
Niue,
Nepal,
Pitcairn Islands,
Palau,
Papua New Guinea,
Puerto Rico,
North Korea,
Paraguay,
French Polynesia,
Senegal,
South Georgia & South Sandwich Islands,
St. Helena,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
El Salvador,
San Marino,
Somalia,
St. Pierre & Miquelon,
Serbia,
South Sudan,
São Tomé & Príncipe,
Suriname,
Slovenia,
Eswatini,
Sint Maarten,
Seychelles,
Syria,
Turks & Caicos Islands,
Chad,
Tokelau,
Turkmenistan,
Timor-Leste,
Tunisia,
Tuvalu,
Tanzania,
U.S. Outlying Islands,
Uzbekistan,
Vatican City,
Venezuela,
British Virgin Islands,
U.S. Virgin Islands,
Vanuatu,
Wallis & Futuna,
Samoa,
Kosovo,
Yemen,
