Category: All categories

Week,Autistic Spectrum Disorder: (Worldwide)
2018-08-05,66
2018-08-12,60
2018-08-19,64
2018-08-26,36
2018-09-02,57
2018-09-09,100
2018-09-16,81
2018-09-23,84
2018-09-30,68
2018-10-07,91
2018-10-14,76
2018-10-21,91
2018-10-28,59
2018-11-04,58
2018-11-11,73
2018-11-18,81
2018-11-25,67
2018-12-02,100
2018-12-09,64
2018-12-16,58
2018-12-23,38
2018-12-30,45
2019-01-06,48
2019-01-13,67
2019-01-20,57
2019-01-27,54
2019-02-03,78
2019-02-10,65
2019-02-17,65
2019-02-24,55
2019-03-03,63
2019-03-10,40
2019-03-17,72
2019-03-24,81
2019-03-31,96
2019-04-07,77
2019-04-14,91
2019-04-21,36
2019-04-28,78
2019-05-05,46
2019-05-12,73
2019-05-19,48
2019-05-26,58
2019-06-02,85
2019-06-09,57
2019-06-16,63
2019-06-23,36
2019-06-30,62
2019-07-07,58
2019-07-14,47
2019-07-21,72
2019-07-28,80
2019-08-04,61
2019-08-11,68
2019-08-18,54
2019-08-25,65
2019-09-01,53
2019-09-08,58
2019-09-15,47
2019-09-22,54
2019-09-29,73
2019-10-06,62
2019-10-13,82
2019-10-20,48
2019-10-27,63
2019-11-03,66
2019-11-10,82
2019-11-17,92
2019-11-24,61
2019-12-01,60
2019-12-08,63
2019-12-15,57
2019-12-22,24
2019-12-29,44
2020-01-05,56
2020-01-12,56
2020-01-19,70
2020-01-26,91
2020-02-02,66
2020-02-09,79
2020-02-16,74
2020-02-23,77
2020-03-01,64
2020-03-08,66
2020-03-15,50
2020-03-22,52
2020-03-29,40
2020-04-05,36
2020-04-12,55
2020-04-19,38
2020-04-26,59
2020-05-03,64
2020-05-10,55
2020-05-17,61
2020-05-24,53
2020-05-31,51
2020-06-07,34
2020-06-14,51
2020-06-21,55
2020-06-28,48
2020-07-05,65
2020-07-12,77
2020-07-19,60
2020-07-26,90
2020-08-02,54
2020-08-09,57
2020-08-16,46
2020-08-23,66
2020-08-30,66
2020-09-06,45
2020-09-13,79
2020-09-20,57
2020-09-27,36
2020-10-04,47
2020-10-11,61
2020-10-18,66
2020-10-25,52
2020-11-01,50
2020-11-08,58
2020-11-15,63
2020-11-22,41
2020-11-29,44
2020-12-06,40
2020-12-13,55
2020-12-20,45
2020-12-27,29
2021-01-03,37
2021-01-10,36
2021-01-17,39
2021-01-24,53
2021-01-31,38
2021-02-07,44
2021-02-14,79
2021-02-21,67
2021-02-28,80
2021-03-07,44
2021-03-14,55
2021-03-21,73
2021-03-28,87
2021-04-04,56
2021-04-11,58
2021-04-18,64
2021-04-25,64
2021-05-02,58
2021-05-09,52
2021-05-16,41
2021-05-23,63
2021-05-30,51
2021-06-06,36
2021-06-13,62
2021-06-20,70
2021-06-27,66
2021-07-04,54
2021-07-11,50
2021-07-18,59
2021-07-25,33
2021-08-01,34
2021-08-08,43
2021-08-15,43
2021-08-22,44
2021-08-29,66
2021-09-05,57
2021-09-12,41
2021-09-19,42
2021-09-26,60
2021-10-03,73
2021-10-10,50
2021-10-17,80
2021-10-24,68
2021-10-31,50
2021-11-07,38
2021-11-14,48
2021-11-21,69
2021-11-28,55
2021-12-05,66
2021-12-12,62
2021-12-19,31
2021-12-26,43
2022-01-02,63
2022-01-09,50
2022-01-16,22
2022-01-23,64
2022-01-30,57
2022-02-06,59
2022-02-13,60
2022-02-20,55
2022-02-27,57
2022-03-06,71
2022-03-13,47
2022-03-20,55
2022-03-27,66
2022-04-03,93
2022-04-10,77
2022-04-17,65
2022-04-24,76
2022-05-01,60
2022-05-08,77
2022-05-15,51
2022-05-22,66
2022-05-29,55
2022-06-05,61
2022-06-12,58
2022-06-19,64
2022-06-26,64
2022-07-03,55
2022-07-10,68
2022-07-17,62
2022-07-24,79
2022-07-31,57
2022-08-07,49
2022-08-14,68
2022-08-21,63
2022-08-28,63
2022-09-04,59
2022-09-11,67
2022-09-18,73
2022-09-25,57
2022-10-02,63
2022-10-09,77
2022-10-16,89
2022-10-23,69
2022-10-30,51
2022-11-06,62
2022-11-13,67
2022-11-20,71
2022-11-27,68
2022-12-04,71
2022-12-11,60
2022-12-18,36
2022-12-25,45
2023-01-01,61
2023-01-08,48
2023-01-15,75
2023-01-22,49
2023-01-29,68
2023-02-05,54
2023-02-12,71
2023-02-19,65
2023-02-26,74
2023-03-05,60
2023-03-12,73
2023-03-19,71
2023-03-26,65
2023-04-02,72
2023-04-09,60
2023-04-16,60
2023-04-23,79
2023-04-30,50
2023-05-07,61
2023-05-14,69
2023-05-21,65
2023-05-28,46
2023-06-04,69
2023-06-11,58
2023-06-18,69
2023-06-25,54
2023-07-02,56
2023-07-09,46
2023-07-16,36
2023-07-23,59
