Category: All categories
"Autistic Spectrum Disorder: (8/1/18 - 8/1/23, Worldwide)"

TOP
Autistic Spectrum Disorders,100
Spectrum,94
Disease,75
Child,16
Autism,7
Asperger syndrome,6
Adult,6
Symptom,6
Attention deficit hyperactivity disorder,5
Syndrome,5
Therapy,4
Medical diagnosis,4
Medical sign,4
Behavior,4
Disability,4
Exam,3
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",3
Autistic child,3
Mental disorder,2
Signs and symptoms,2
People,2
ICD-10,2
Spectrum disorder,2
International Classification of Diseases,2
Social,2

RISING
Autistic child,Breakout
Signs and symptoms,Breakout
People,Breakout
succeeding,Breakout
Neurodiversity,Breakout
normal,Breakout
Classic autism,Breakout
Sci-Hub,Breakout
Autism,Breakout
Sense,+750%
Mood,+400%
Motor skill,+400%
ICD-10-CM,+350%
Cognitive behavioral therapy,+250%
Empathy,+250%
Cause,+120%
Symptom,+50%
Personality,+50%

