Category: All categories

Week,Autistic Spectrum Disorder: (United Kingdom)
2018-08-05,38
2018-08-12,40
2018-08-19,0
2018-08-26,0
2018-09-02,0
2018-09-09,20
2018-09-16,47
2018-09-23,100
2018-09-30,55
2018-10-07,69
2018-10-14,40
2018-10-21,62
2018-10-28,0
2018-11-04,56
2018-11-11,19
2018-11-18,82
2018-11-25,70
2018-12-02,37
2018-12-09,33
2018-12-16,0
2018-12-23,0
2018-12-30,0
2019-01-06,26
2019-01-13,48
2019-01-20,28
2019-01-27,0
2019-02-03,82
2019-02-10,42
2019-02-17,27
2019-02-24,56
2019-03-03,20
2019-03-10,28
2019-03-17,31
2019-03-24,24
2019-03-31,38
2019-04-07,82
2019-04-14,41
2019-04-21,0
2019-04-28,26
2019-05-05,53
2019-05-12,67
2019-05-19,52
2019-05-26,46
2019-06-02,63
2019-06-09,32
2019-06-16,33
2019-06-23,15
2019-06-30,55
2019-07-07,30
2019-07-14,26
2019-07-21,65
2019-07-28,35
2019-08-04,14
2019-08-11,31
2019-08-18,22
2019-08-25,41
2019-09-01,42
2019-09-08,0
2019-09-15,0
2019-09-22,18
2019-09-29,53
2019-10-06,39
2019-10-13,28
2019-10-20,38
2019-10-27,53
2019-11-03,26
2019-11-10,36
2019-11-17,48
2019-11-24,26
2019-12-01,53
2019-12-08,0
2019-12-15,49
2019-12-22,0
2019-12-29,51
2020-01-05,55
2020-01-12,28
2020-01-19,64
2020-01-26,73
2020-02-02,61
2020-02-09,80
2020-02-16,25
2020-02-23,17
2020-03-01,0
2020-03-08,0
2020-03-15,23
2020-03-22,51
2020-03-29,39
2020-04-05,17
2020-04-12,32
2020-04-19,10
2020-04-26,20
2020-05-03,28
2020-05-10,26
2020-05-17,13
2020-05-24,18
2020-05-31,16
2020-06-07,0
2020-06-14,62
2020-06-21,34
2020-06-28,0
2020-07-05,38
2020-07-12,16
2020-07-19,32
2020-07-26,51
2020-08-02,20
2020-08-09,62
2020-08-16,32
2020-08-23,48
2020-08-30,46
2020-09-06,46
2020-09-13,26
2020-09-20,62
2020-09-27,40
2020-10-04,31
2020-10-11,36
2020-10-18,43
2020-10-25,35
2020-11-01,18
2020-11-08,73
2020-11-15,57
2020-11-22,34
2020-11-29,40
2020-12-06,70
2020-12-13,18
2020-12-20,43
2020-12-27,13
2021-01-03,12
2021-01-10,35
2021-01-17,29
2021-01-24,12
2021-01-31,46
2021-02-07,53
2021-02-14,31
2021-02-21,16
2021-02-28,87
2021-03-07,35
2021-03-14,0
2021-03-21,66
2021-03-28,13
2021-04-04,17
2021-04-11,40
2021-04-18,17
2021-04-25,52
2021-05-02,34
2021-05-09,21
2021-05-16,46
2021-05-23,41
2021-05-30,55
2021-06-06,50
2021-06-13,52
2021-06-20,28
2021-06-27,46
2021-07-04,0
2021-07-11,22
2021-07-18,33
2021-07-25,21
2021-08-01,22
2021-08-08,38
2021-08-15,43
2021-08-22,32
2021-08-29,0
2021-09-05,52
2021-09-12,48
2021-09-19,17
2021-09-26,0
2021-10-03,0
2021-10-10,55
2021-10-17,27
2021-10-24,0
2021-10-31,40
2021-11-07,0
2021-11-14,36
2021-11-21,33
2021-11-28,0
2021-12-05,0
2021-12-12,0
2021-12-19,0
2021-12-26,28
2022-01-02,48
2022-01-09,36
2022-01-16,0
2022-01-23,22
2022-01-30,48
2022-02-06,52
2022-02-13,41
2022-02-20,33
2022-02-27,20
2022-03-06,48
2022-03-13,31
2022-03-20,0
2022-03-27,20
2022-04-03,35
2022-04-10,56
2022-04-17,22
2022-04-24,46
2022-05-01,0
2022-05-08,53
2022-05-15,27
2022-05-22,43
2022-05-29,24
2022-06-05,39
2022-06-12,37
2022-06-19,53
2022-06-26,56
2022-07-03,37
2022-07-10,0
2022-07-17,27
2022-07-24,57
2022-07-31,20
2022-08-07,38
2022-08-14,0
2022-08-21,30
2022-08-28,29
2022-09-04,19
2022-09-11,0
2022-09-18,49
2022-09-25,46
2022-10-02,0
2022-10-09,49
2022-10-16,88
2022-10-23,19
2022-10-30,0
2022-11-06,32
2022-11-13,0
2022-11-20,18
2022-11-27,51
2022-12-04,16
2022-12-11,34
2022-12-18,44
2022-12-25,42
2023-01-01,50
2023-01-08,60
2023-01-15,75
2023-01-22,23
2023-01-29,41
2023-02-05,28
2023-02-12,14
2023-02-19,54
2023-02-26,57
2023-03-05,34
2023-03-12,82
2023-03-19,38
2023-03-26,52
2023-04-02,26
2023-04-09,13
2023-04-16,87
2023-04-23,32
2023-04-30,19
2023-05-07,0
2023-05-14,0
2023-05-21,39
2023-05-28,0
2023-06-04,19
2023-06-11,47
2023-06-18,47
2023-06-25,39
2023-07-02,0
2023-07-09,43
2023-07-16,66
2023-07-23,33
