Category: All categories
"Autistic Spectrum Disorder: (8/1/18 - 8/1/23, United Kingdom)"

TOP
Autistic Spectrum Disorders,100
Spectrum,95
Disease,78
Child,13
Asperger syndrome,8
Adult,7
Attention deficit hyperactivity disorder,6
Syndrome,5
Medical diagnosis,5
Symptom,5
Autism,4
Disability,4
Medical sign,4
People,3
High-functioning autism,3
Mental disorder,3
Personality disorder,3
Autistic child,3
Personality,3
Spectrum disorder,2
Individual,2
Attention deficit hyperactivity disorder predominantly inattentive,2
National Autistic Society,2
Learning,2
Learning disability,2

RISING
Autism,Breakout
People,Breakout
Autistic child,Breakout
Learning,Breakout
Signs and symptoms,Breakout
Society,Breakout
Neurodevelopmental disorder,Breakout
Neurodiversity,Breakout
Occupational Therapist,Breakout
Adult attention deficit hyperactivity disorder,Breakout
Tourette syndrome,Breakout
Nonverbal communication,Breakout
Need,Breakout
Dissociative identity disorder,Breakout
important,Breakout
Education,Breakout
intense,Breakout
Tantrum,Breakout
Personality disorder,+250%
Syndrome,+100%
Personality,+90%
High-functioning autism,+80%
Individual,+60%
ICD-10,+50%
Attention deficit hyperactivity disorder,+50%

