Category: All categories

Week,Autism: (Worldwide)
2018-08-05,38
2018-08-12,39
2018-08-19,39
2018-08-26,40
2018-09-02,41
2018-09-09,42
2018-09-16,47
2018-09-23,52
2018-09-30,45
2018-10-07,46
2018-10-14,45
2018-10-21,44
2018-10-28,44
2018-11-04,45
2018-11-11,44
2018-11-18,49
2018-11-25,51
2018-12-02,50
2018-12-09,45
2018-12-16,40
2018-12-23,31
2018-12-30,36
2019-01-06,44
2019-01-13,45
2019-01-20,40
2019-01-27,48
2019-02-03,46
2019-02-10,46
2019-02-17,50
2019-02-24,52
2019-03-03,53
2019-03-10,50
2019-03-17,56
2019-03-24,56
2019-03-31,100
2019-04-07,59
2019-04-14,53
2019-04-21,52
2019-04-28,50
2019-05-05,45
2019-05-12,46
2019-05-19,44
2019-05-26,46
2019-06-02,50
2019-06-09,47
2019-06-16,44
2019-06-23,45
2019-06-30,39
2019-07-07,41
2019-07-14,41
2019-07-21,39
2019-07-28,41
2019-08-04,40
2019-08-11,43
2019-08-18,43
2019-08-25,44
2019-09-01,42
2019-09-08,45
2019-09-15,49
2019-09-22,51
2019-09-29,49
2019-10-06,45
2019-10-13,46
2019-10-20,43
2019-10-27,45
2019-11-03,51
2019-11-10,49
2019-11-17,48
2019-11-24,42
2019-12-01,45
2019-12-08,45
2019-12-15,40
2019-12-22,35
2019-12-29,39
2020-01-05,44
2020-01-12,45
2020-01-19,45
2020-01-26,49
2020-02-02,46
2020-02-09,46
2020-02-16,49
2020-02-23,47
2020-03-01,50
2020-03-08,46
2020-03-15,31
2020-03-22,33
2020-03-29,56
2020-04-05,36
2020-04-12,38
2020-04-19,38
2020-04-26,40
2020-05-03,40
2020-05-10,37
2020-05-17,38
2020-05-24,40
2020-05-31,39
2020-06-07,37
2020-06-14,39
2020-06-21,41
2020-06-28,36
2020-07-05,36
2020-07-12,38
2020-07-19,38
2020-07-26,42
2020-08-02,42
2020-08-09,43
2020-08-16,43
2020-08-23,39
2020-08-30,39
2020-09-06,44
2020-09-13,42
2020-09-20,40
2020-09-27,38
2020-10-04,39
2020-10-11,37
2020-10-18,38
2020-10-25,37
2020-11-01,34
2020-11-08,37
2020-11-15,41
2020-11-22,37
2020-11-29,36
2020-12-06,38
2020-12-13,36
2020-12-20,33
2020-12-27,32
2021-01-03,37
2021-01-10,36
2021-01-17,37
2021-01-24,41
2021-01-31,41
2021-02-07,40
2021-02-14,42
2021-02-21,43
2021-02-28,44
2021-03-07,43
2021-03-14,45
2021-03-21,47
2021-03-28,75
2021-04-04,54
2021-04-11,52
2021-04-18,50
2021-04-25,48
2021-05-02,45
2021-05-09,50
2021-05-16,42
2021-05-23,41
2021-05-30,45
2021-06-06,46
2021-06-13,45
2021-06-20,43
2021-06-27,42
2021-07-04,41
2021-07-11,43
2021-07-18,44
2021-07-25,44
2021-08-01,43
2021-08-08,46
2021-08-15,44
2021-08-22,43
2021-08-29,45
2021-09-05,48
2021-09-12,48
2021-09-19,48
2021-09-26,45
2021-10-03,46
2021-10-10,47
2021-10-17,43
2021-10-24,42
2021-10-31,45
2021-11-07,44
2021-11-14,52
2021-11-21,44
2021-11-28,55
2021-12-05,52
2021-12-12,47
2021-12-19,40
2021-12-26,40
2022-01-02,43
2022-01-09,46
2022-01-16,44
2022-01-23,47
2022-01-30,53
2022-02-06,53
2022-02-13,52
2022-02-20,49
2022-02-27,51
2022-03-06,52
2022-03-13,55
2022-03-20,56
2022-03-27,80
2022-04-03,78
2022-04-10,60
2022-04-17,60
2022-04-24,63
2022-05-01,56
2022-05-08,55
2022-05-15,53
2022-05-22,54
2022-05-29,52
2022-06-05,54
2022-06-12,50
2022-06-19,52
2022-06-26,49
2022-07-03,50
2022-07-10,54
2022-07-17,54
2022-07-24,54
2022-07-31,55
2022-08-07,51
2022-08-14,54
2022-08-21,59
2022-08-28,52
2022-09-04,51
2022-09-11,54
2022-09-18,56
2022-09-25,53
2022-10-02,53
2022-10-09,54
2022-10-16,53
2022-10-23,55
2022-10-30,57
2022-11-06,55
2022-11-13,57
2022-11-20,50
2022-11-27,58
2022-12-04,59
2022-12-11,57
2022-12-18,54
2022-12-25,54
2023-01-01,63
2023-01-08,63
2023-01-15,63
2023-01-22,62
2023-01-29,64
2023-02-05,62
2023-02-12,61
2023-02-19,66
2023-02-26,64
2023-03-05,64
2023-03-12,67
2023-03-19,68
2023-03-26,78
2023-04-02,90
2023-04-09,71
2023-04-16,71
2023-04-23,70
2023-04-30,64
2023-05-07,66
2023-05-14,63
2023-05-21,62
2023-05-28,58
2023-06-04,61
2023-06-11,61
2023-06-18,62
2023-06-25,59
2023-07-02,56
2023-07-09,59
2023-07-16,60
2023-07-23,59
