Category: All categories

Week,Autism: (United Kingdom)
2018-08-05,35
2018-08-12,33
2018-08-19,36
2018-08-26,32
2018-09-02,36
2018-09-09,43
2018-09-16,43
2018-09-23,44
2018-09-30,41
2018-10-07,44
2018-10-14,41
2018-10-21,41
2018-10-28,39
2018-11-04,43
2018-11-11,50
2018-11-18,85
2018-11-25,48
2018-12-02,49
2018-12-09,41
2018-12-16,39
2018-12-23,28
2018-12-30,34
2019-01-06,42
2019-01-13,42
2019-01-20,42
2019-01-27,44
2019-02-03,46
2019-02-10,49
2019-02-17,44
2019-02-24,41
2019-03-03,47
2019-03-10,44
2019-03-17,46
2019-03-24,49
2019-03-31,65
2019-04-07,44
2019-04-14,41
2019-04-21,43
2019-04-28,42
2019-05-05,45
2019-05-12,47
2019-05-19,45
2019-05-26,39
2019-06-02,41
2019-06-09,48
2019-06-16,43
2019-06-23,41
2019-06-30,45
2019-07-07,41
2019-07-14,39
2019-07-21,35
2019-07-28,38
2019-08-04,36
2019-08-11,37
2019-08-18,40
2019-08-25,40
2019-09-01,38
2019-09-08,43
2019-09-15,41
2019-09-22,44
2019-09-29,42
2019-10-06,47
2019-10-13,42
2019-10-20,38
2019-10-27,39
2019-11-03,50
2019-11-10,45
2019-11-17,48
2019-11-24,41
2019-12-01,43
2019-12-08,42
2019-12-15,42
2019-12-22,31
2019-12-29,36
2020-01-05,42
2020-01-12,42
2020-01-19,44
2020-01-26,44
2020-02-02,42
2020-02-09,44
2020-02-16,47
2020-02-23,43
2020-03-01,42
2020-03-08,38
2020-03-15,27
2020-03-22,28
2020-03-29,43
2020-04-05,30
2020-04-12,32
2020-04-19,35
2020-04-26,35
2020-05-03,36
2020-05-10,37
2020-05-17,37
2020-05-24,42
2020-05-31,36
2020-06-07,35
2020-06-14,36
2020-06-21,34
2020-06-28,36
2020-07-05,36
2020-07-12,40
2020-07-19,36
2020-07-26,36
2020-08-02,36
2020-08-09,36
2020-08-16,36
2020-08-23,37
2020-08-30,37
2020-09-06,39
2020-09-13,40
2020-09-20,39
2020-09-27,37
2020-10-04,42
2020-10-11,39
2020-10-18,42
2020-10-25,35
2020-11-01,39
2020-11-08,39
2020-11-15,42
2020-11-22,38
2020-11-29,38
2020-12-06,39
2020-12-13,35
2020-12-20,29
2020-12-27,34
2021-01-03,40
2021-01-10,39
2021-01-17,39
2021-01-24,45
2021-01-31,41
2021-02-07,43
2021-02-14,46
2021-02-21,42
2021-02-28,48
2021-03-07,44
2021-03-14,46
2021-03-21,50
2021-03-28,64
2021-04-04,49
2021-04-11,49
2021-04-18,50
2021-04-25,48
2021-05-02,44
2021-05-09,53
2021-05-16,46
2021-05-23,48
2021-05-30,45
2021-06-06,48
2021-06-13,52
2021-06-20,44
2021-06-27,47
2021-07-04,48
2021-07-11,42
2021-07-18,46
2021-07-25,46
2021-08-01,42
2021-08-08,46
2021-08-15,42
2021-08-22,54
2021-08-29,44
2021-09-05,49
2021-09-12,49
2021-09-19,51
2021-09-26,49
2021-10-03,52
2021-10-10,53
2021-10-17,46
2021-10-24,40
2021-10-31,50
2021-11-07,45
2021-11-14,72
2021-11-21,67
2021-11-28,100
2021-12-05,64
2021-12-12,63
2021-12-19,47
2021-12-26,45
2022-01-02,53
2022-01-09,59
2022-01-16,56
2022-01-23,54
2022-01-30,57
2022-02-06,58
2022-02-13,52
2022-02-20,50
2022-02-27,54
2022-03-06,57
2022-03-13,58
2022-03-20,58
2022-03-27,80
2022-04-03,63
2022-04-10,52
2022-04-17,52
2022-04-24,57
2022-05-01,57
2022-05-08,55
2022-05-15,59
2022-05-22,57
2022-05-29,51
2022-06-05,57
2022-06-12,61
2022-06-19,58
2022-06-26,54
2022-07-03,55
2022-07-10,57
2022-07-17,49
2022-07-24,56
2022-07-31,51
2022-08-07,54
2022-08-14,55
2022-08-21,47
2022-08-28,54
2022-09-04,52
2022-09-11,59
2022-09-18,56
2022-09-25,58
2022-10-02,58
2022-10-09,66
2022-10-16,59
2022-10-23,53
2022-10-30,62
2022-11-06,62
2022-11-13,69
2022-11-20,59
2022-11-27,57
2022-12-04,55
2022-12-11,55
2022-12-18,51
2022-12-25,53
2023-01-01,60
2023-01-08,66
2023-01-15,70
2023-01-22,70
2023-01-29,66
2023-02-05,66
2023-02-12,78
2023-02-19,83
2023-02-26,74
2023-03-05,73
2023-03-12,98
2023-03-19,96
2023-03-26,100
2023-04-02,81
2023-04-09,73
2023-04-16,82
2023-04-23,76
2023-04-30,68
2023-05-07,74
2023-05-14,73
2023-05-21,65
2023-05-28,56
2023-06-04,64
2023-06-11,61
2023-06-18,63
2023-06-25,65
2023-07-02,67
2023-07-09,64
2023-07-16,63
2023-07-23,62
